Employee_ID,Name,Age,City,Department,Salary,Product,Quantity,Rating,Joining_Year
35,Sneha,33.0,Butwal,HR,115111.0,Headphones,9,3.0,2018
183,Aayush,37.0,Bhaktapur,IT,28396.0,Keyboard,8,3.1,2019
86,Neha,32.0,Chitwan,IT,96376.0,Mouse,3,4.6,2020
274,  Sabin ,21.0,Dharan,Operations,52479.0,Webcam,5,4.3,2019
37,Maya,55.0,Kathmandu,IT,34862.0,Keyboard,9,1.1,2023
6,Raj,43.0,Bhaktapur,Operations,34116.0,Laptop,4,4.1,2019
285,Sita,26.0,Lalitpur,Finance,67727.0,Mouse,8,1.5,2025
265,Ramesh,40.0,butwal,IT,36995.0,Laptop,5,2.8,2022
468,Riya,49.0,Kathmandu,IT,$110003,Printer,2,3.8,2022
329,Raj,35.0,Dharan,Finance,102554.0,Webcam,4,3.9,2021
380,Nisha,46.0,Dharan,Marketing,138664.0,Printer,1,3.1,2020
143,Priya,44.0,Bhaktapur,Marketing,98233.0,Printer,2,2.6,2018
176,Aayush,37.0,pokhara,Finance,82272.0,Tablet,8,4.6,2024
427,Priya,200.0,pokhara,Finance,105065.0,Mouse,4,1.5,2024
139,Raj,25.0,Kathmandu,HR,45632.0,Laptop,2,2.1,2024
264,Raj,38.0,Bhaktapur,Operations,34634.0,Monitor,5,1.6,2020
277,Sabin,25.0,Pokhara,HR,111193.0,Printer,3,3.6,2018
435,Bibek,32.0,Biratnagar,HR,62567.0,Headphones,3,4.4,2022
278,Ramesh,41.0,Chitwan,IT,26382.0,Monitor,5,1.9,2021
451,Maya,44.0,Dharan,Operations,78011.0,Tablet,6,1.1,2019
262,Rohan,47.0,Bhaktapur,IT,69642.0,Tablet,6,1.1,2022
235,Suman,54.0,Chitwan,Marketing,74712.0,Mouse,4,2.8,2020
12,Amit,51.0,Pokhara,IT,137866.0,Monitor,3,3.5,2024
259,Kiran,54.0,Kathmandu,HR,146735.0,Printer,1,4.8,2020
429,Suman,52.0,lalitpur,Sales,25568.0,Laptop,9,4.7,2025
288,Priya,52.0,Chitwan,Sales,103174.0,Keyboard,10,2.5,2020
253,Riya,21.0,Kathmandu,Marketing,97305.0,Tablet,1,1.1,2022
135,Pooja,55.0,Butwal,IT,124956.0,Headphones,10,1.9,2024
290,Bibek,42.0,Kathmandu,Sales,42895.0,Mouse,7,4.9,2025
73,Aarav,53.0,Bhaktapur,IT,56635.0,Tablet,8,3.2,2021
133,Sabin,23.0,Butwal,Operations,41021.0,Tablet,6,4.5,2024
238,Priya,52.0,Biratnagar,HR,131926.0,Printer,10,3.4,2023
500,Raj,42.0,Lalitpur,IT,40712.0,Monitor,8,3.5,2018
484,  Aayush ,46.0,Butwal,IT,45287.0,Tablet,10,2.0,2024
212,Riya,32.0,bhaktapur,Finance,98149.0,Headphones,4,4.8,2022
466,Priya,48.0,Lalitpur,HR,99233.0,Keyboard,8,4.8,2018
94,Suman,23.0,Bhaktapur,Finance,96987.0,Keyboard,5,,2025
179,Raj,47.0,Lalitpur,Operations,83183.0,Printer,8,1.2,2023
103,Raj,45.0,Pokhara,Finance,136718.0,Tablet,6,3.5,2025
178,Raj,31.0,Biratnagar,Finance,38447.0,Monitor,6,3.6,2022
267,Sita,40.0,Chitwan,IT,63253.0,Tablet,7,4.1,2021
49,Sneha,33.0,Chitwan,Marketing,104516.0,Printer,8,2.8,2021
186,  Anish ,31.0,Butwal,Marketing,54391.0,Monitor,4,4.2,2021
34,Sabin,39.0,Pokhara,HR,59664.0,Monitor,2,10.0,2020
60,Rahul,37.0,Chitwan,Sales,28804.0,Tablet,6,3.7,2024
481,  Amit ,47.0,Bhaktapur,Sales,128488.0,Tablet,6,3.4,2019
10,Neha,40.0,Bhaktapur,Operations,90435.0,Tablet,8,1.6,2020
76,Suman,37.0,Biratnagar,Finance,55217.0,Monitor,4,2.3,2020
404,Amit,30.0,Pokhara,Finance,118206.0,Laptop,7,4.5,2022
190,Amit,29.0,Biratnagar,HR,46229.0,Printer,4,2.4,2022
377,Raj,45.0,Kathmandu,Sales,141598.0,Printer,4,1.2,2025
289,Sabin,31.0,lalitpur,Sales,62858.0,Keyboard,3,2.3,2025
16,Pooja,30.0,Kathmandu,Marketing,67487.0,Webcam,1,1.4,2023
386,Aarav,50.0,Lalitpur,Operations,47701.0,Laptop,4,2.0,2022
25,Maya,31.0,Biratnagar,Sales,57742.0,Monitor,8,4.2,2019
180,Maya,37.0,Kathmandu,IT,112973.0,Tablet,6,3.1,2020
478,Ramesh,44.0,Lalitpur,IT,27170.0,Mouse,9,4.4,2024
192,  Neha ,29.0,Lalitpur,Operations,106851.0,Printer,10,1.2,2018
14,Rohan,54.0,Biratnagar,Operations,69587.0,Monitor,5,2.7,2025
126,Bibek,28.0,Chitwan,Marketing,39896.0,Monitor,8,2.8,2023
319,Sita,39.0,Chitwan,Operations,149967.0,Mouse,1,2.0,2024
353,Amit,43.0,Pokhara,Finance,117345.0,Tablet,10,1.4,2022
243,Kiran,33.0,Butwal,Operations,35363.0,Webcam,6,1.4,2021
193,Bibek,36.0,Bhaktapur,Marketing,79602.0,Laptop,8,4.6,2022
363,Aarav,47.0,Lalitpur,Marketing,141621.0,Tablet,3,1.2,2023
56,Suman,24.0,Biratnagar,HR,60614.0,Printer,6,4.6,2019
376,Kiran,44.0,Dharan,Marketing,104817.0,Webcam,1,1.7,2024
337,Sneha,49.0,Biratnagar,IT,36851.0,Keyboard,5,4.3,2018
83,Neha,23.0,Pokhara,HR,,Mouse,5,3.6,2020
102,Amit,49.0,Kathmandu,Operations,43894.0,Tablet,3,1.3,2022
160,Raj,30.0,Dharan,IT,78852.0,Printer,4,4.9,2022
203,Kiran,27.0,Lalitpur,IT,76629.0,Printer,6,3.2,2023
237,Bibek,48.0,Kathmandu,HR,122064.0,Laptop,7,2.8,2021
330,Aarav,46.0,kathmandu,HR,95981.0,Printer,1,4.8,2018
334,  Priya ,35.0,Biratnagar,Finance,"136,530",Printer,7,3.8,2023
454,Ramesh,54.0,Biratnagar,Operations,43884.0,Headphones,6,4.8,2018
370,Bibek,44.0,Chitwan,Marketing,115055.0,Webcam,10,4.5,2025
173,Bibek,42.0,Butwal,Operations,47949.0,Webcam,8,3.5,2020
27,Anish,44.0,kathmandu,Sales,59760.0,Webcam,5,2.7,2025
499,Nisha,51.0,bhaktapur,HR,121394.0,Mouse,5,1.8,2021
299,Ramesh,51.0,Lalitpur,Marketing,,Headphones,7,2.5,2019
327,Rahul,53.0,Kathmandu,Sales,34034.0,Webcam,5,4.1,2022
296,Raj,47.0,Lalitpur,Marketing,43249.0,Mouse,4,4.2,2023
50,Riya,30.0,Pokhara,Finance,92561.0,Printer,2,4.3,2021
200,Neha,42.0,Kathmandu,IT,61877.0,Webcam,10,4.5,2025
379,Priya,39.0,Dharan,Finance,60313.0,Tablet,10,,2021
415,Suman,37.0,Chitwan,Operations,136499.0,Webcam,7,3.6,2020
342,Rohan,22.0,dharan,IT,47018.0,Tablet,7,3.0,2024
373,Priya,36.0,Butwal,Operations,144822.0,Monitor,2,2.6,2024
369,Bibek,29.0,Pokhara,IT,112574.0,Printer,9,2.7,2021
232,Sita,54.0,Kathmandu,IT,147391.0,Webcam,1,2.1,2020
338,Aayush,29.0,Pokhara,Operations,57534.0,Printer,7,3.1,2022
479,Raj,26.0,Lalitpur,Sales,143175.0,Laptop,9,3.0,2019
197,Suman,35.0,Lalitpur,IT,31632.0,Headphones,7,4.5,2024
67,Nisha,24.0,,IT,116382.0,Headphones,10,4.2,2018
450,Sita,24.0,,HR,129099.0,Headphones,9,1.3,2021
422,Rahul,25.0,Dharan,,130022.0,Webcam,2,4.4,2025
487,Nisha,52.0,Chitwan,Finance,129969.0,Laptop,3,2.6,2018
151,  Sneha ,24.0,Pokhara,Marketing,102867.0,Tablet,8,3.3,2018
394,Sneha,46.0,Butwal,Finance,59152.0,Headphones,8,4.4,2025
43,Pooja,52.0,Chitwan,Operations,135580.0,Printer,1,1.5,2022
416,Priya,23.0,Lalitpur,IT,79529.0,Webcam,10,3.7,2020
42,Sneha,34.0,Bhaktapur,IT,111511.0,Mouse,7,2.3,2019
483,Nisha,20.0,Kathmandu,Marketing,93490.0,Monitor,9,1.0,2021
152,Neha,32.0,Butwal,Marketing,87341.0,Keyboard,1,2.8,2023
491,  Rahul ,20.0,lalitpur,IT,61167.0,Tablet,6,3.7,2024
156,Sneha,,Lalitpur,Marketing,117908.0,Monitor,5,3.2,2023
436,Sabin,22.0,Butwal,Sales,38432.0,Mouse,9,2.6,2022
472,Priya,31.0,Lalitpur,,103908.0,Monitor,4,2.7,2023
210,Amit,50.0,Kathmandu,Operations,43098.0,Mouse,9,2.3,2025
224,Kiran,41.0,Biratnagar,Marketing,119749.0,Laptop,5,3.6,2021
108,Suman,36.0,Dharan,Finance,112404.0,Laptop,8,4.6,2020
292,Bibek,37.0,Bhaktapur,Marketing,62836.0,Keyboard,8,3.3,2025
115,Aayush,27.0,Dharan,IT,43449.0,Mouse,7,4.9,2023
96,Suman,27.0,Lalitpur,Sales,147244.0,Headphones,9,3.8,2024
55,Riya,48.0,Biratnagar,HR,135082.0,Headphones,9,2.9,2021
21,Bibek,34.0,Pokhara,IT,137674.0,Printer,2,3.1,2022
459,Aayush,51.0,Dharan,Finance,105785.0,Headphones,10,1.6,2023
389,Aayush,37.0,Butwal,Finance,59229.0,Headphones,4,1.6,2021
348,Rohan,150.0,Bhaktapur,Finance,94951.0,Laptop,4,3.3,2024
309,Priya,44.0,Lalitpur,Operations,113753.0,Keyboard,2,3.1,2018
474,Neha,30.0,Lalitpur,Operations,92193.0,Laptop,10,1.6,2020
471,Aarav,52.0,Lalitpur,Sales,46706.0,Mouse,2,3.1,2022
433,Anish,52.0,Butwal,Operations,40126.0,Printer,9,2.9,2024
132,Priya,50.0,Pokhara,IT,134022.0,Monitor,2,2.7,2023
1,Rohan,21.0,Biratnagar,HR,54256.0,Keyboard,2,3.7,2019
413,Aayush,47.0,Pokhara,IT,136574.0,Laptop,1,4.4,2020
157,Amit,25.0,chitwan,Marketing,72425.0,Laptop,6,2.2,2021
161,Suman,34.0,Bhaktapur,Finance,130987.0,Webcam,4,2.5,2025
414,Pooja,48.0,Biratnagar,Operations,37183.0,Printer,6,1.7,2024
201,Sabin,20.0,Pokhara,Sales,42555.0,Headphones,6,4.1,2023
275,Riya,28.0,Biratnagar,HR,58119.0,Keyboard,7,4.2,2019
121,Suman,48.0,Bhaktapur,Finance,"38,022",Printer,9,4.6,2023
149,Neha,40.0,Butwal,HR,82640.0,Monitor,8,2.8,2022
470,Kiran,44.0,Bhaktapur,Marketing,78194.0,Printer,6,,2025
249,Priya,32.0,Butwal,HR,74786.0,Mouse,8,3.2,2023
384,  Sabin ,42.0,Butwal,HR,134792.0,Headphones,2,2.1,2024
462,Raj,25.0,Biratnagar,HR,141824.0,Mouse,5,3.9,2019
393,Priya,36.0,Lalitpur,Operations,142911.0,Printer,2,1.9,2021
163,Riya,43.0,Pokhara,Operations,135872.0,Monitor,5,1.3,2020
347,Raj,34.0,kathmandu,Finance,32679.0,Webcam,9,2.4,2021
438,Raj,48.0,Bhaktapur,Operations,117357.0,Printer,10,3.2,2021
32,Suman,26.0,Pokhara,Marketing,52938.0,Headphones,3,4.7,2019
344,Raj,35.0,Biratnagar,Sales,79000.0,Webcam,1,1.4,2024
22,  Riya ,33.0,Lalitpur,Operations,147619.0,Webcam,4,4.1,2024
489,Ramesh,45.0,Biratnagar,Operations,103311.0,Laptop,3,3.6,2025
171,Sabin,52.0,Kathmandu,Sales,139469.0,Webcam,1,3.5,2023
191,Kiran,32.0,Biratnagar,HR,106922.0,Headphones,10,3.1,2020
310,Anish,48.0,Butwal,Operations,Rs. 52925,Keyboard,7,3.5,2025
80,Aayush,31.0,Kathmandu,Finance,148347.0,Webcam,2,4.3,2024
250,Riya,51.0,Dharan,HR,121045.0,Printer,3,1.6,2025
463,Sita,21.0,Kathmandu,Marketing,100877.0,Tablet,10,1.9,2018
122,Ramesh,37.0,Bhaktapur,IT,149388.0,Webcam,2,3.7,2018
448,Sabin,54.0,Kathmandu,Operations,33581.0,Mouse,4,4.5,2024
92,Ramesh,55.0,Kathmandu,Sales,36542.0,Printer,5,2.3,2024
205,Amit,49.0,Lalitpur,Marketing,142064.0,Keyboard,6,4.7,2023
182,Priya,48.0,Butwal,Finance,83188.0,Monitor,10,1.6,2023
403,Nisha,30.0,Chitwan,IT,54939.0,Mouse,3,1.8,2018
222,Aayush,38.0,Bhaktapur,HR,105079.0,Tablet,7,3.1,2019
53,  Maya ,34.0,lalitpur,Operations,92889.0,Webcam,1,3.2,2019
318,Sita,39.0,Pokhara,Marketing,145707.0,Mouse,3,,2024
286,Aayush,44.0,Chitwan,Marketing,39972.0,Printer,6,4.4,2020
172,Aarav,42.0,Pokhara,Finance,56604.0,Monitor,10,3.9,2023
165,Bibek,45.0,Butwal,HR,Rs. 75615,Monitor,6,1.9,2023
261,Sabin,41.0,Chitwan,Operations,43343.0,Monitor,9,4.0,2023
105,Rohan,,Lalitpur,Operations,64251.0,Laptop,1,2.3,2018
445,Pooja,48.0,Bhaktapur,Operations,105439.0,Mouse,1,0.0,2023
339,Anish,21.0,Chitwan,Sales,97869.0,Mouse,2,2.8,2020
434,Sabin,38.0,Chitwan,IT,93515.0,Monitor,1,2.5,2018
417,Ramesh,42.0,Kathmandu,Operations,140336.0,Keyboard,8,4.7,2019
392,Sabin,50.0,Butwal,Marketing,64347.0,Keyboard,9,1.7,2019
287,Sneha,25.0,Lalitpur,Finance,40448.0,Mouse,5,1.5,2023
490,  Nisha ,53.0,Biratnagar,HR,29405.0,Mouse,10,1.7,2018
311,Sita,26.0,Lalitpur,IT,102276.0,Tablet,6,4.9,2023
7,Rohan,44.0,Biratnagar,Sales,108320.0,Printer,3,2.5,2021
148,Anish,29.0,Pokhara,HR,149687.0,Webcam,8,4.0,2025
185,Anish,48.0,Pokhara,Operations,135824.0,Printer,6,3.8,2022
204,Nisha,52.0,Chitwan,Marketing,-25000.0,Laptop,1,1.5,2023
461,Aayush,50.0,Dharan,Sales,72020.0,Headphones,8,3.2,2020
385,Anish,33.0,Bhaktapur,Operations,54505.0,Mouse,5,3.6,2018
432,Sabin,40.0,Bhaktapur,HR,52487.0,Headphones,6,4.7,2020
189,Suman,53.0,Butwal,HR,140075.0,Keyboard,3,2.7,2018
368,Pooja,31.0,Dharan,IT,59510.0,Webcam,8,2.1,2022
176,Aayush,37.0,pokhara,Finance,82272.0,Tablet,8,4.6,2024
217,Priya,20.0,Lalitpur,Sales,110575.0,Webcam,8,3.6,2022
390,Raj,150.0,Butwal,Operations,43340.0,Laptop,8,5.0,2022
230,Suman,28.0,Chitwan,Sales,98912.0,Laptop,9,2.8,2022
228,Neha,27.0,Kathmandu,Marketing,143343.0,Mouse,10,3.1,2020
268,Amit,30.0,Chitwan,,43198.0,Headphones,5,2.1,2020
166,Aayush,29.0,Lalitpur,IT,62601.0,Webcam,3,4.0,2025
247,Pooja,52.0,Dharan,Sales,37924.0,Webcam,6,4.7,2023
283,Sabin,47.0,Dharan,HR,129563.0,Tablet,3,1.7,2024
420,Sabin,23.0,Kathmandu,Operations,147469.0,Keyboard,9,4.4,2025
39,Nisha,35.0,Pokhara,Finance,127251.0,Tablet,10,4.0,2021
273,Kiran,45.0,Butwal,IT,147167.0,Mouse,10,5.0,2020
202,Ramesh,23.0,Bhaktapur,Finance,97512.0,Headphones,2,2.5,2025
402,Amit,53.0,Butwal,Sales,141388.0,Keyboard,6,5.0,2025
13,  Sita ,44.0,Chitwan,Marketing,86348.0,Headphones,9,4.4,2018
440,Bibek,47.0,Biratnagar,Marketing,59634.0,Keyboard,3,3.3,2022
294,Suman,54.0,Bhaktapur,Sales,38423.0,Mouse,5,4.5,2018
31,Nisha,40.0,Bhaktapur,Finance,76876.0,Keyboard,5,2.8,2019
145,Rohan,45.0,Kathmandu,Finance,47527.0,Webcam,6,1.4,2019
375,Neha,,Pokhara,Marketing,127176.0,Monitor,5,4.5,2023
213,Nisha,51.0,Butwal,Sales,,Headphones,5,1.5,2024
158,Riya,32.0,Bhaktapur,HR,45308.0,Monitor,5,4.4,2019
293,Amit,27.0,Pokhara,Finance,126595.0,Printer,9,4.3,2018
352,Aayush,31.0,Butwal,IT,27872.0,Keyboard,10,3.8,2020
441,Aayush,49.0,Lalitpur,IT,45146.0,Printer,10,1.2,2022
333,Rohan,52.0,Lalitpur,Operations,132474.0,Tablet,2,3.4,2018
423,  Rohan ,51.0,Kathmandu,IT,77879.0,Tablet,1,3.2,2018
357,Priya,41.0,Pokhara,HR,70457.0,Printer,3,3.5,2019
242,  Priya ,49.0,Kathmandu,Marketing,79090.0,Tablet,9,3.1,2024
82,Maya,34.0,Chitwan,Sales,144079.0,Webcam,5,4.4,2024
106,Pooja,43.0,Chitwan,HR,57007.0,Tablet,10,3.7,2020
180,Maya,37.0,Kathmandu,IT,112973.0,Tablet,6,3.1,2020
400,Aarav,35.0,Bhaktapur,Operations,139948.0,Printer,5,1.5,2024
38,Sabin,29.0,Chitwan,HR,30482.0,Headphones,6,4.6,2018
20,Rahul,34.0,Pokhara,Finance,27757.0,Mouse,10,1.9,2019
30,Rohan,35.0,Kathmandu,Marketing,35745.0,Tablet,10,3.3,2023
79,Sneha,28.0,Dharan,IT,Rs. 139389,Laptop,10,2.1,2025
460,Maya,30.0,Kathmandu,Finance,$57266,Mouse,7,2.1,2023
